sgRNA	Gene	ctr	exp
Vcp_1	Vcp	244	220
Park7_1	Park7	2768	2445
Pan2_2	Pan2	5404	4444
Sox1_2	Sox1	5164	4206
Acad11_3	Acad11	6625	5559
Mcl1_2	Mcl1	1281	1085
Mrps23_2	Mrps23	2354	2263
Rps3_3	Rps3	496	335
Zbtb17_4	Zbtb17	181	147
Rpp25l_2	Rpp25l	2584	2281
Gtf2f1_2	Gtf2f1	3164	2464
Mlx_2	Mlx	3258	2641
Dicer1_3	Dicer1	3890	3224
Xpo6_2	Xpo6	2497	1840
Tspyl2_1	Tspyl2	2683	2721
Zfp91_1	Zfp91	2905	2917
Zscan5b_1	Zscan5b	2904	2404
Fnbp4_3	Fnbp4	1322	960
Camk2d_1	Camk2d	954	709
U2af2_3	U2af2	419	253
Zfp532_1	Zfp532	6753	5514
Umps_3	Umps	2264	1807
Ell2_4	Ell2	1155	939
Igf2bp3_2	Igf2bp3	4568	3866
Fubp3_3	Fubp3	3170	2178
Aim2_3	Aim2	4728	3884
Gsx2_4	Gsx2	3678	3286
Klk1b4_2	Klk1b4	7008	6192
Ajuba_4	Ajuba	8545	8141
Bhmt_4	Bhmt	8142	6062
Dhcr24_2	Dhcr24	3345	3094
Ube4b_4	Ube4b	1323	1136
Polr3f_3	Polr3f	2180	1666
Tmc8_3	Tmc8	4051	3588
Hsd3b6_3	Hsd3b6	939	769
Stag1_3	Stag1	2092	1514
Psmd13_4	Psmd13	805	497
Onecut3_1	Onecut3	5236	3863
Pdpk1_4	Pdpk1	1167	1780
Uspl1_4	Uspl1	2646	2142
Zfp740_2	Zfp740	12103	11181
Tigd4_1	Tigd4	4372	3157
Gabrg1_1	Gabrg1	3401	2569
Dhx38_1	Dhx38	1151	720
Hspa4_1	Hspa4	3244	2511
Zfp653_1	Zfp653	4941	3871
Aldh3a1_1	Aldh3a1	3668	3658
Clspn_3	Clspn	685	655
Zfp334_2	Zfp334	14431	11933
Calcoco1_2	Calcoco1	1220	1053
Gtf3c3_2	Gtf3c3	465	576
Nup188_2	Nup188	3672	2860
Eef1a1_1	Eef1a1	1387	1155
Zxdb_4	Zxdb	6009	4644
Ifnar2_1	Ifnar2	5156	4296
Rps13_4	Rps13	2257	1755
Mlf2_2	Mlf2	16040	13668
Rad51d_3	Rad51d	433	399
Zbtb5_2	Zbtb5	3703	3051
Spic_2	Spic	4820	4050
Elavl1_2	Elavl1	3482	3085
